idx,n_sample,n_epoch_before,n_epoch_online,lr,user_embedding_dim,item_embedding_dim,user_meta_dim,item_meta_dim,meta_meta_dim,dense1,dense2,margin,batch_size,dropout
1,30,600,3,0.001,10,10,30,30,90,128,64,1,64,0
2,30,100,3,0.001,10,10,30,30,90,128,64,1,64,0
3,30,1500,3,0.001,10,10,30,30,90,128,64,1,64,0
4,30,600,30,0.001,10,10,30,30,90,128,64,1,64,0
5,30,600,0,0.001,10,10,30,30,90,128,64,1,64,0
6,30,600,3,0.001,60,60,120,120,256,256,128,1,64,0
7,30,1500,10,0.001,60,60,120,120,256,256,128,1,64,0
8,30,600,3,0.001,5,5,20,20,32,64,32,1,64,0
1,30,600,3,0.0001,10,10,30,30,90,128,64,1,64,0
2,30,100,3,0.0001,10,10,30,30,90,128,64,1,64,0
3,30,1500,3,0.0001,10,10,30,30,90,128,64,1,64,0
4,30,600,30,0.0001,10,10,30,30,90,128,64,1,64,0
5,30,600,0,0.0001,10,10,30,30,90,128,64,1,64,0
6,30,600,3,0.0001,60,60,120,120,256,256,128,1,64,0
7,30,1500,10,0.0001,60,60,120,120,256,256,128,1,64,0
8,30,600,3,0.0001,5,5,20,20,32,64,32,1,64,0
1,30,600,3,0.001,10,10,30,30,90,128,64,1,64,0.5
2,30,100,3,0.001,10,10,30,30,90,128,64,1,64,0.5
3,30,1500,3,0.001,10,10,30,30,90,128,64,1,64,0.5
4,30,600,30,0.001,10,10,30,30,90,128,64,1,64,0.5
5,30,600,0,0.001,10,10,30,30,90,128,64,1,64,0.5
6,30,600,3,0.001,60,60,120,120,256,256,128,1,64,0.5
7,30,1500,10,0.001,60,60,120,120,256,256,128,1,64,0.5
8,30,600,3,0.001,5,5,20,20,32,64,32,1,64,0.5
1,30,600,3,0.0001,10,10,30,30,90,128,64,1,64,0.5
2,30,100,3,0.0001,10,10,30,30,90,128,64,1,64,0.5
3,30,1500,3,0.0001,10,10,30,30,90,128,64,1,64,0.5
4,30,600,30,0.0001,10,10,30,30,90,128,64,1,64,0.5
5,30,600,0,0.0001,10,10,30,30,90,128,64,1,64,0.5
6,30,600,3,0.0001,60,60,120,120,256,256,128,1,64,0.5
7,30,1500,10,0.0001,60,60,120,120,256,256,128,1,64,0.5
8,30,600,3,0.0001,5,5,20,20,32,64,32,1,64,0.5
